研究発表,,,,,
2,システム開発文書品質研究会(ASDoQ),山本雅基、ASDoQ運営委員一同(ASDoQ),※1,※2,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-002.pdf
5,「箱庭ワーキンググループ」立ち上げと活動内容の紹介,森崇((株)永和システムマネジメント),※1,※2,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-005.pdf
14,mrubyの現状と今後,三牧弘司(NPO法人軽量Rubyフォーラム),※1,※2,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-014.pdf
27,fukuoka.ex 福岡 Elixir コミュニティ,山崎進(北九州市立大学)、森正和 (カラビナテクノロジー),※1,※2,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-027.pdf
32,SWEST20 s3c 「mruby の省メモリ化について考える」 その後のご報告,山根ゆりえ(達人出版会),,,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-032.pdf
自由工作発表,,,,
1,Digital Synth VRA8-N mode-VC ― Arduinoを用いたシンセサイザー,石垣良(技術系会社員),,,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-001.pdf
3,シースルーグラスで作る新しい絵本の世界,相沢一摩、Phan Le、近藤智子、上原椋(エプソンアヴァシス株式会社),※1,,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-003.pdf
7,スマホながら歩き検出システム ～エッジAIからクラウドまでIoTシステムをモデル駆動開発～,石田晴幸(株式会社富士通コンピュータテクノロジーズ),※1,※2,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-007.pdf
28,ZytleBot ROSxFPGAを実現するロボット 開発プラットフォーム,新田泰大、田村爽、高瀬英希(京都大学),※1,,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-028.pdf
33,実行委員呼び出しボタンを作ってみた！,及川達裕(ポリテクセンター熊本),※1,,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-033.pdf
協賛企業デモ展示,,,,
4,システム評価向け3Dモデル環境,嶋内宏明(株式会社ヴィッツ),※1,,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-004.pdf
12,学生・教育関係者を支援、STのユニバーシティプログラム,木村崇志(STマイクロエレクトロニクス(株)),※1,※2,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-012.pdf
29,統合開発環境SOLID紹介,Mamoru Yura(京都マイクロコンピュータ株式会社),※1,,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-029.pdf
30,MaaS 時代の System of Systems 開発,兼平靖夫(ダッソー・システムズ株式会社),※1,,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-030.pdf
34,IoT開発力スキルアップと関連デモ展示,太田 寛(日本マイクロソフト株式会社),※1,※2,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-034.pdf
35,自動運転をする会社「ティアフォー」の紹介,Geoffrey Biggs(株式会社ティアフォー),※1,,http://swest.toppers.jp/SWEST21/interactive/data/SWEST21-IS-035.pdf
